,precision,recall,f1-score,support
essential,0.730,0.446,0.554,121.000
supplementary,0.250,0.115,0.158,26.000
not-relevant,0.763,0.929,0.838,281.000
accuracy,0.743,0.743,0.743,0.743
macro avg,0.581,0.497,0.517,428.000
weighted avg,0.723,0.743,0.716,428.000
