,precision,recall,f1-score,support
essential,0.517,0.752,0.613,121.000
supplementary,0.042,0.038,0.040,26.000
not-relevant,0.851,0.690,0.762,281.000
accuracy,0.668,0.668,0.668,0.668
macro avg,0.470,0.494,0.472,428.000
weighted avg,0.707,0.668,0.676,428.000
