,precision,recall,f1-score,support
relevant,0.565,0.769,0.651,147.000
not-relevant,0.851,0.690,0.762,281.000
accuracy,0.717,0.717,0.717,0.717
macro avg,0.708,0.730,0.707,428.000
weighted avg,0.753,0.717,0.724,428.000
