,precision,recall,f1-score,support
relevant,0.690,0.728,0.709,147.000
not-relevant,0.853,0.829,0.841,281.000
accuracy,0.794,0.794,0.794,0.794
macro avg,0.772,0.779,0.775,428.000
weighted avg,0.797,0.794,0.796,428.000
