,precision,recall,f1-score,support
essential,0.675,0.669,0.672,121.000
supplementary,0.171,0.231,0.197,26.000
not-relevant,0.853,0.829,0.841,281.000
accuracy,0.748,0.748,0.748,0.748
macro avg,0.567,0.576,0.570,428.000
weighted avg,0.762,0.748,0.754,428.000
