,precision,recall,f1-score,support
relevant,0.533,0.762,0.627,147.000
not-relevant,0.839,0.651,0.733,281.000
accuracy,0.689,0.689,0.689,0.689
macro avg,0.686,0.707,0.680,428.000
weighted avg,0.734,0.689,0.697,428.000
