,precision,recall,f1-score,support
essential,0.753,0.504,0.604,121.000
supplementary,0.200,0.038,0.065,26.000
not-relevant,0.775,0.943,0.851,281.000
accuracy,0.764,0.764,0.764,0.764
macro avg,0.576,0.495,0.506,428.000
weighted avg,0.734,0.764,0.733,428.000
