,precision,recall,f1-score,support
relevant,0.681,0.667,0.674,147.000
not-relevant,0.827,0.836,0.832,281.000
accuracy,0.778,0.778,0.778,0.778
macro avg,0.754,0.751,0.753,428.000
weighted avg,0.777,0.778,0.777,428.000
