,precision,recall,f1-score,support
essential,0.448,0.752,0.562,121.000
supplementary,0.114,0.154,0.131,26.000
not-relevant,0.863,0.584,0.696,281.000
accuracy,0.605,0.605,0.605,0.605
macro avg,0.475,0.497,0.463,428.000
weighted avg,0.700,0.605,0.624,428.000
