,precision,recall,f1-score,support
relevant,0.579,0.646,0.611,147.000
not-relevant,0.803,0.754,0.778,281.000
accuracy,0.717,0.717,0.717,0.717
macro avg,0.691,0.700,0.694,428.000
weighted avg,0.726,0.717,0.721,428.000
