,precision,recall,f1-score,support
essential,0.811,0.355,0.494,121.000
supplementary,0.086,0.115,0.098,26.000
not-relevant,0.782,0.947,0.857,281.000
accuracy,0.729,0.729,0.729,0.729
macro avg,0.560,0.472,0.483,428.000
weighted avg,0.748,0.729,0.708,428.000
