,precision,recall,f1-score,support
relevant,0.639,0.639,0.639,147.000
not-relevant,0.811,0.811,0.811,281.000
accuracy,0.752,0.752,0.752,0.752
macro avg,0.725,0.725,0.725,428.000
weighted avg,0.752,0.752,0.752,428.000
