,precision,recall,f1-score,support
relevant,0.588,0.680,0.631,147.000
not-relevant,0.818,0.751,0.783,281.000
accuracy,0.727,0.727,0.727,0.727
macro avg,0.703,0.716,0.707,428.000
weighted avg,0.739,0.727,0.731,428.000
