,precision,recall,f1-score,support
essential,0.683,0.339,0.453,121.000
supplementary,0.137,0.808,0.235,26.000
not-relevant,0.870,0.665,0.754,281.000
accuracy,0.582,0.582,0.582,0.582
macro avg,0.563,0.604,0.481,428.000
weighted avg,0.773,0.582,0.637,428.000
