feature,clinician_mean,clinician_std,clinician_cv,model_mean,model_std,model_cv,variance_ratio,cv_ratio
clin_causal_connectives,0.9,0.9679060415469872,1.0754511572744303,1.8,0.8944271909999159,0.49690399499995325,1.1710526315789476,2.1643037047317994
clin_certainty_markers,0.6,0.7539370349250519,1.2565617248750867,0.6,0.6805570473787205,1.1342617456312007,1.2272727272727275,1.1078234188139948
clin_contrastive_connectives,0.2,0.4103913408340617,2.0519567041703084,0.15,0.36634754853252327,2.442316990216822,1.2549019607843142,0.8401680504168059
clin_hedge_certainty_ratio,0.4583333333333333,0.3622339717536135,0.7903286656442476,0.4666666666666666,0.38082704705165293,0.8160579579678278,0.9047379032258064,0.9684712438958968
clin_hedge_epistemic,0.45,0.6863327411532598,1.5251838692294661,0.3,0.4701623459816272,1.5672078199387574,2.1309523809523823,0.9731854638710689
clin_hedge_evidential,0.05,0.22360679774997894,4.472135954999579,0.15,0.36634754853252327,2.442316990216822,0.37254901960784303,1.8311038136792208
clin_medical_abbreviations,0.95,1.190974832912761,1.253657718855538,1.45,1.2343760409722457,0.8512938213601695,0.9309153713298791,1.4726498506150139
clin_meta_referential,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf
clin_non_ascii,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf
clin_temporal_connectives,0.35,0.5871429486123998,1.6775512817497138,0.6,0.7539370349250519,1.2565617248750867,0.6064814814814814,1.3350329303691606
clin_total_connectives,1.45,1.0990426455975697,0.7579604452397033,2.55,1.2763022245616642,0.5005106762986918,0.7415185783521808,1.5143741804767659
clin_total_hedging,0.5,0.7608859102526822,1.5217718205053643,0.45,0.5104177855340405,1.134261745631201,2.222222222222222,1.3416407864998738
lex_avg_word_length,5.385174616119822,0.538918272810188,0.1000744286354255,5.784454928944269,0.47850339919915424,0.08272229710094513,1.2684570422447066,1.2097636567478989
lex_budget_utilization,0.9800000000000002,0.03164126404939087,0.03228700413203149,0.9786666666666667,0.020473917225331057,0.020920215148499035,2.3883928571428568,1.5433399658104372
lex_hapax_legomena,44.0,4.984185516527038,0.11327694355743269,46.55,5.558066683943068,0.11939992876354603,0.8041570832268508,0.9487186862712539
lex_hapax_ratio,0.5994878240152214,0.07217960409384289,0.12040211861252115,0.6337505064737845,0.07052716249863675,0.11128537457279988,1.04740867983908,1.0819222119233407
lex_mtld,86.98146252830554,15.97934134670972,0.18370973403108412,90.95243100835594,20.114390669066168,0.22115286470152984,0.6311084375541257,0.8306911795107003
lex_ttr,0.7558778989943374,0.04629083024173163,0.06124114794640717,0.770125237872585,0.04229769303916405,0.054923135821400106,1.1977235196420806,1.1150337108491415
lex_unique_words,55.5,2.892822333402378,0.05212292492616897,56.55,3.677456214630749,0.06503017178834217,0.6187974314068884,0.801519102483948
lex_word_count,73.5,2.373094803704315,0.0322870041320315,73.4,1.535543791899829,0.02092021514849903,2.3883928571428577,1.5433399658104379
read_coleman_liau,12.782759653371134,2.9062831360869055,0.22735960112654124,14.96480307212066,2.349178099296613,0.1569802213884871,1.530537437254077,1.448332784318622
read_flesch_kincaid_grade,10.71610434279462,2.000823755392553,0.18671185828251874,12.515509653649818,1.5711439921496138,0.12553575808168796,1.621756666911027,1.4873201160821652
read_flesch_reading_ease,46.749045983014874,13.46702219329115,0.2880705244377407,34.774185701475936,12.199479892731906,0.35082000186748064,1.2185981670786272,0.8211348352553655
sent_polarity,0.028161174242424238,0.08317440046376555,2.9535132217059687,0.013916456228956226,0.17078614243798962,12.272243711199389,0.23717783463954326,0.2406661154398894
sent_reassurance_count,0.6,0.5982430416161189,0.9970717360268648,0.8,0.8944271909999159,1.1180339887498947,0.44736842105263164,0.8918080720799185
sent_subjectivity,0.38042765716426424,0.1671401450165201,0.43934803863208854,0.42645427836052835,0.2613093404206367,0.6127487838209079,0.4091209148546735,0.717011686081942
sent_warning_count,0.85,1.268027892769755,1.4917975209055943,0.8,1.399247918291146,1.7490598978639322,0.821236559139785,0.8529139126267066
sty_adjective_pct,0.08195620466817295,0.04158790986295566,0.5074406511543353,0.10529013957749093,0.04594577574471733,0.4363730158311964,0.8193001059124569,1.1628598303398079
sty_adverb_pct,0.023528430447680625,0.02066617146883543,0.8783489198223441,0.028943756537727718,0.022171023394236877,0.7660036583481244,0.8688575443078939,1.1466641317568778
sty_first_person_pronouns,0.15,0.36634754853252327,2.442316990216822,0.0,0.0,0.0,inf,inf
sty_function_word_pct,0.40887332034249846,0.06512012855387365,0.15926724810345871,0.3843894993019535,0.04488947885365459,0.11678123084832785,2.104463373042997,1.3638086098810733
sty_passive_voice_ratio,0.3916666666666667,0.2789652978900792,0.7122518244002021,0.28761904761904766,0.19246393902319134,0.6691627019018241,2.1008818279646113,1.0643925944705444
sty_second_person_pronouns,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf
sty_the_patient_count,1.55,1.234376040972246,0.7963716393369329,0.95,0.22360679774997902,0.2353755765789253,30.473684210526304,3.3834081297296215
sty_third_person_pronouns,3.45,2.4809802816416613,0.7191247193164235,3.55,1.4680814547887788,0.413544071771487,2.8559218559218555,1.7389312733608522
syn_adj_ratio,0.08195620466817295,0.04158790986295566,0.5074406511543353,0.10529013957749093,0.04594577574471733,0.4363730158311964,0.8193001059124569,1.1628598303398079
syn_adp_ratio,0.10940022661399733,0.021504223426615246,0.19656470641957396,0.08813982863168332,0.022072734075844418,0.25042860212584994,0.9491509027588078,0.784913163875717
syn_adv_ratio,0.023528430447680625,0.02066617146883543,0.8783489198223441,0.028943756537727718,0.022171023394236877,0.7660036583481244,0.8688575443078939,1.1466641317568778
syn_avg_parse_depth,5.299166666666666,1.1809585139605483,0.2228574015965809,4.575714285714286,0.4556108152163611,0.09957151753089379,6.7186378694469076,2.238164157008409
syn_avg_sent_length,17.975833333333334,3.2375559106915515,0.18010602627740308,19.169166666666666,3.6970917723393635,0.19286658813229737,0.7668564805577093,0.9338373640635922
syn_det_ratio,0.08507492971768385,0.03230031467463268,0.379669013913022,0.07813974737958891,0.04692034028944235,0.6004670076742343,0.4739049012218922,0.6322895497349293
syn_noun_ratio,0.310471759392812,0.050509110933088505,0.1626850410867285,0.3113437256312256,0.05265627260472078,0.16912585117289328,0.9201088787262474,0.961917057377701
syn_opener_diversity,0.9733333333333334,0.08488037678152176,0.08720586655635797,1.0,0.0,0.0,inf,inf
syn_pron_ratio,0.0632199369899442,0.03855081520790522,0.6097888900780958,0.06129213017197395,0.020489851390093645,0.33429824241061706,3.5398879505643244,1.8240864375502601
syn_sent_length_std,6.522408972033202,2.129742889071753,0.32652703904395886,4.639089643714362,2.171913363974906,0.4681766317919066,0.9615444347350331,0.697444120169356
syn_sentence_count,4.75,0.8506963092234007,0.17909395983650542,4.65,0.9880869341680841,0.21249181379958798,0.7412398921832887,0.8428275736091094
syn_verb_ratio,0.13657463567953834,0.031740389273769175,0.2324032505438675,0.14090007571886462,0.024510687340639898,0.17395794300029782,1.6769245287691594,1.3359737792684157
