,precision,recall,f1-score,support
essential,0.854,0.339,0.485,121.000
supplementary,0.126,0.615,0.209,26.000
not-relevant,0.850,0.765,0.805,281.000
accuracy,0.636,0.636,0.636,0.636
macro avg,0.610,0.573,0.500,428.000
weighted avg,0.807,0.636,0.679,428.000
