,precision,recall,f1-score,support
relevant,0.623,0.741,0.677,147.000
not-relevant,0.850,0.765,0.805,281.000
accuracy,0.757,0.757,0.757,0.757
macro avg,0.736,0.753,0.741,428.000
weighted avg,0.772,0.757,0.761,428.000
