,precision,recall,f1-score,support
relevant,0.530,0.782,0.632,147.000
not-relevant,0.848,0.637,0.728,281.000
accuracy,0.687,0.687,0.687,0.687
macro avg,0.689,0.710,0.680,428.000
weighted avg,0.739,0.687,0.695,428.000
