,precision,recall,f1-score,support
essential,0.573,0.678,0.621,121.000
supplementary,0.000,0.000,0.000,26.000
not-relevant,0.818,0.815,0.816,281.000
accuracy,0.727,0.727,0.727,0.727
macro avg,0.464,0.498,0.479,428.000
weighted avg,0.699,0.727,0.712,428.000
