,precision,recall,f1-score,support
relevant,0.532,0.789,0.636,147.000
not-relevant,0.852,0.637,0.729,281.000
accuracy,0.689,0.689,0.689,0.689
macro avg,0.692,0.713,0.682,428.000
weighted avg,0.742,0.689,0.697,428.000
