,precision,recall,f1-score,support
essential,0.522,0.802,0.632,121.000
supplementary,0.042,0.038,0.040,26.000
not-relevant,0.876,0.680,0.766,281.000
accuracy,0.675,0.675,0.675,0.675
macro avg,0.480,0.507,0.479,428.000
weighted avg,0.725,0.675,0.684,428.000
