,precision,recall,f1-score,support
essential,0.600,0.669,0.633,121.000
supplementary,0.105,0.346,0.161,26.000
not-relevant,0.903,0.665,0.766,281.000
accuracy,0.647,0.647,0.647,0.647
macro avg,0.536,0.560,0.520,428.000
weighted avg,0.769,0.647,0.692,428.000
