,precision,recall,f1-score,support
relevant,0.669,0.810,0.732,147.000
not-relevant,0.888,0.790,0.836,281.000
accuracy,0.797,0.797,0.797,0.797
macro avg,0.778,0.800,0.784,428.000
weighted avg,0.813,0.797,0.800,428.000
