feature,clinician_mean,clinician_std,clinician_cv,model_mean,model_std,model_cv,variance_ratio,cv_ratio
clin_causal_connectives,0.9,0.9679060415469872,1.0754511572744303,0.5,0.6882472016116853,1.3764944032233706,1.9777777777777783,0.7812971522121849
clin_certainty_markers,0.6,0.7539370349250519,1.2565617248750867,0.45,0.6048053188292994,1.3440118196206654,1.553956834532374,0.9349335374369991
clin_contrastive_connectives,0.2,0.4103913408340617,2.0519567041703084,0.2,0.4103913408340617,2.0519567041703084,1.0,1.0
clin_hedge_certainty_ratio,0.4583333333333333,0.3622339717536135,0.7903286656442476,0.4,0.34792618696922967,0.8698154674230741,1.0839371980676331,0.9086164769933155
clin_hedge_epistemic,0.45,0.6863327411532598,1.5251838692294661,0.35,0.812727700887249,2.32207914539214,0.713147410358566,0.6568182106350648
clin_hedge_evidential,0.05,0.22360679774997894,4.472135954999579,0.05,0.22360679774997894,4.472135954999579,1.0,1.0
clin_medical_abbreviations,0.95,1.190974832912761,1.253657718855538,1.75,1.3717065820970682,0.7838323326268961,0.7538461538461538,1.5993952618082146
clin_meta_referential,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf
clin_non_ascii,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf
clin_temporal_connectives,0.35,0.5871429486123998,1.6775512817497138,0.9,0.9679060415469872,1.0754511572744303,0.3679775280898875,1.5598581771032876
clin_total_connectives,1.45,1.0990426455975697,0.7579604452397033,1.6,1.0954451150103324,0.6846531968814576,1.0065789473684208,1.107072089478519
clin_total_hedging,0.5,0.7608859102526822,1.5217718205053643,0.4,0.9947229183096801,2.4868072957742,0.5851063829787234,0.611937974885023
lex_avg_word_length,5.385174616119822,0.538918272810188,0.1000744286354255,6.0124284382141315,0.37872698448656833,0.06299068477546178,2.0248521550798237,1.5887179031654186
lex_budget_utilization,0.9800000000000002,0.03164126404939087,0.03228700413203149,0.9653333333333336,0.027834094957538382,0.028833661903527322,1.2922705314009657,1.11976772981727
lex_hapax_legomena,44.0,4.984185516527038,0.11327694355743269,49.7,4.130757544898616,0.0831138339013806,1.4558914250462678,1.3629132268382949
lex_hapax_ratio,0.5994878240152214,0.07217960409384289,0.12040211861252115,0.6869438728074825,0.05967913563292248,0.08687629076451153,1.4627966008687547,1.3859030761210251
lex_mtld,86.98146252830554,15.97934134670972,0.18370973403108412,106.63871740081814,21.345978454333817,0.20017099768840665,0.560383855398303,0.9177639925492767
lex_ttr,0.7558778989943374,0.04629083024173163,0.06124114794640717,0.8040296665640785,0.0361311263861008,0.04493755378517649,1.6414472790398937,1.362805555441888
lex_unique_words,55.5,2.892822333402378,0.05212292492616897,58.2,2.858044970365508,0.04910730189631457,1.0244845360824744,1.0614088519100806
lex_word_count,73.5,2.373094803704315,0.0322870041320315,72.4,2.087557121815378,0.02883366190352732,1.2922705314009661,1.1197677298172704
read_coleman_liau,12.782759653371134,2.9062831360869055,0.22735960112654124,16.213812596012954,1.9524861999772893,0.12042116488119606,2.215643574771314,1.8880368857986674
read_flesch_kincaid_grade,10.71610434279462,2.000823755392553,0.18671185828251874,13.233490625392903,1.6160953507401385,0.12212162281953909,1.532793705758422,1.528900893811619
read_flesch_reading_ease,46.749045983014874,13.46702219329115,0.2880705244377407,28.813469471053168,11.526429336802154,0.4000361479682943,1.3650657410323015,0.7201112346991512
sent_polarity,0.028161174242424238,0.08317440046376555,2.9535132217059687,0.0073489057239057255,0.09528761785749751,12.966232176245004,0.7619148150215888,0.2277850019620195
sent_reassurance_count,0.6,0.5982430416161189,0.9970717360268648,0.7,0.7326950970650465,1.046707281521495,0.6666666666666667,0.9525793444156805
sent_subjectivity,0.38042765716426424,0.1671401450165201,0.43934803863208854,0.3689976366226366,0.14782323612068027,0.4006075417546776,1.2784276003655086,1.0967043623485617
sent_warning_count,0.85,1.268027892769755,1.4917975209055943,0.85,1.6311119875071343,1.918955279420158,0.6043521266073196,0.7774008789597034
sty_adjective_pct,0.08195620466817295,0.04158790986295566,0.5074406511543353,0.12288754258990993,0.0450989961217589,0.36699404326327456,0.8503553303239425,1.3826945163529727
sty_adverb_pct,0.023528430447680625,0.02066617146883543,0.8783489198223441,0.033584786829742246,0.018178277567219105,0.5412652359347614,1.292452514992737,1.622769876039501
sty_first_person_pronouns,0.15,0.36634754853252327,2.442316990216822,0.0,0.0,0.0,inf,inf
sty_function_word_pct,0.40887332034249846,0.06512012855387365,0.15926724810345871,0.33412282229206997,0.035534095273661775,0.10635039842504389,3.358458402749873,1.4975707704161616
sty_passive_voice_ratio,0.3916666666666667,0.2789652978900792,0.7122518244002021,0.2541666666666667,0.21682686385429478,0.85308930041034,1.655290367721372,0.8349088706863461
sty_second_person_pronouns,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf
sty_the_patient_count,1.55,1.234376040972246,0.7963716393369329,1.45,1.050062654772261,0.724181141222249,1.3818615751789978,1.0996856918875892
sty_third_person_pronouns,3.45,2.4809802816416613,0.7191247193164235,1.4,1.5694450913417908,1.1210322081012791,2.4989316239316235,0.6414844409639429
syn_adj_ratio,0.08195620466817295,0.04158790986295566,0.5074406511543353,0.12288754258990993,0.0450989961217589,0.36699404326327456,0.8503553303239425,1.3826945163529727
syn_adp_ratio,0.10940022661399733,0.021504223426615246,0.19656470641957396,0.10042203506707766,0.026013182001395647,0.2590385863423296,0.6833773311037473,0.7588240392873593
syn_adv_ratio,0.023528430447680625,0.02066617146883543,0.8783489198223441,0.033584786829742246,0.018178277567219105,0.5412652359347614,1.292452514992737,1.622769876039501
syn_avg_parse_depth,5.299166666666666,1.1809585139605483,0.2228574015965809,5.194166666666667,0.6934588912964695,0.13350724684032783,2.900199285248483,1.6692532193635465
syn_avg_sent_length,17.975833333333334,3.2375559106915515,0.18010602627740308,19.105,3.836730378851243,0.20082336450412158,0.7120524625422915,0.8968380084763826
syn_det_ratio,0.08507492971768385,0.03230031467463268,0.379669013913022,0.08098999559706349,0.027905545941015148,0.34455546929338193,1.3397768204885432,1.101909700320971
syn_noun_ratio,0.310471759392812,0.050509110933088505,0.1626850410867285,0.3359077350728579,0.04916650758801385,0.1463690842884273,1.0553602373339177,1.1114713320618295
syn_opener_diversity,0.9733333333333334,0.08488037678152176,0.08720586655635797,0.96,0.1788854381999832,0.1863389981249825,0.22514619883040926,0.4679957895763005
syn_pron_ratio,0.0632199369899442,0.03855081520790522,0.6097888900780958,0.02696030623151812,0.022249041002930573,0.8252517909800368,3.0022340045523834,0.7389125315970951
syn_sent_length_std,6.522408972033202,2.129742889071753,0.32652703904395886,4.3450060575701155,1.9473569203155103,0.44818278605681455,1.196088286330292,0.7285577429619668
syn_sentence_count,4.75,0.8506963092234007,0.17909395983650542,4.6,0.8207826816681233,0.17843101775393985,1.07421875,1.0037153970812394
syn_verb_ratio,0.13657463567953834,0.031740389273769175,0.2324032505438675,0.1301852993985385,0.02878416259718357,0.2211014817354002,1.2159544291600164,1.0511157533624877
